疾病名称	代码	父代码
肠侵袭性大肠杆菌肠炎	A04.200x001	A04
新生儿肠侵袭性大肠杆菌肠炎	A04.200x002	A04
肠出血性大肠杆菌感染	A04.3	A04
肠出血性大肠杆菌感染	A04.300	A04
肠出血性大肠杆菌肠炎	A04.300x001	A04
新生儿肠出血性大肠杆菌肠炎	A04.301	A04
其他肠道大肠杆菌感染	A04.4	A04
肠道大肠杆菌感染，其他的	A04.400	A04
新生儿肠粘附性大肠杆菌肠炎	A04.400x003	A04
肠粘附性大肠杆菌肠炎	A04.400x004	A04
大肠杆菌性肠炎	A04.401	A04
新生儿大肠杆菌肠炎	A04.402	A04
弯曲菌肠炎	A04.5	A04
弯曲菌肠炎	A04.500	A04
小肠结肠耶尔森菌性小肠炎	A04.6	A04
小肠结肠耶尔森菌性小肠炎	A04.600	A04
耶尔森菌肠炎	A04.600x001	A04
艰难梭状芽胞杆菌性小肠结肠炎	A04.7	A04
艰难梭状芽孢杆菌性小肠结肠炎	A04.700	A04
抗生素相关性肠炎	A04.700x002	A04
艰难梭状芽孢杆菌性食物中毒	A04.701	A04
伪膜性结肠炎	A04.702	A04
其他特指的细菌性肠道感染	A04.8	A04
细菌性肠道感染，其他特指的	A04.800	A04
吡邻单胞菌肠炎	A04.800x001	A04
产气杆菌肠炎	A04.800x003	A04
副溶血弧菌肠炎	A04.800x006	A04
金黄色葡萄球菌肠炎	A04.800x007	A04
嗜水气单胞菌肠炎	A04.800x010	A04
变形杆菌肠炎	A04.801	A04
铜绿假单胞菌肠炎	A04.802	A04
厌氧菌肠炎	A04.803	A04
未特指的细菌性肠道感染	A04.9	A04
细菌性肠道感染	A04.900	A04
细菌性结肠炎	A04.901	A04
细菌性腹泻	A04.902	A04
	A05	
	其他细菌性食物中毒，不可归类在他处者	
其他细菌性食物中毒，不可归类在他处者	A05	
食物媒介的葡萄球菌性食物中毒	A05.0	A05
食物媒介的葡萄球菌性食物中毒	A05.000	A05
葡萄球菌食物中毒	A05.000x001	A05
肉毒中毒	A05.1	A05
肉毒中毒	A05.100	A05
食物媒介的产气荚膜梭状芽胞杆菌[韦尔希梭状芽胞杆菌]食物中毒	A05.2	A05
食物媒介的产气荚膜梭状芽孢杆菌［韦尔希梭状芽孢杆菌］食物中毒	A05.200	A05
急性出血性坏死性肠炎	A05.200x002	A05
急性坏死性肠炎	A05.202	A05
食物媒介的副溶血性弧菌食物中毒	A05.3	A05
食物媒介的副溶血性弧菌食物中毒	A05.300	A05
副溶血性弧菌食物中毒	A05.300x001	A05
食物媒介的蜡样芽胞杆菌食物中毒	A05.4	A05
食物媒介的蜡样芽孢杆菌食物中毒	A05.400	A05
蜡样芽胞杆菌食物中毒	A05.400x001	A05
其他特指的细菌性食物中毒	A05.8	A05
食物中毒，其他特指的细菌性	A05.800	A05
未特指的细菌性食物中毒	A05.9	A05
细菌性食物中毒	A05.900	A05
	A06	
	阿米巴病	
阿米巴病	A06	
急性阿米巴痢疾	A06.0	A06
急性阿米巴痢疾	A06.000	A06
阿米巴肠炎	A06.000x001	A06
阿米巴结肠炎	A06.001	A06
阿米巴痢疾	A06.002	A06
慢性肠阿米巴病	A06.1	A06
慢性肠阿米巴病	A06.100	A06
阿米巴肠溃疡	A06.100x002	A06
阿米巴非痢疾性结肠炎	A06.2	A06
阿米巴非痢疾性结肠炎	A06.200	A06
非痢疾性阿米巴结肠炎	A06.200x001	A06
肠道阿米巴瘤	A06.3	A06
肠道阿米巴瘤	A06.300	A06
阿米巴肉芽肿	A06.300x001	A06
阿米巴肝脓肿	A06.4	A06
阿米巴肝脓肿	A06.400+K77.0*	A06.400+K77
阿米巴肺脓肿	A06.5+	A06
阿米巴肺脓肿	A06.500+J99.8*	A06.500+J99
肺阿米巴病[阿米巴肺脓肿]	A06.500x002+J99.8*	A06.500x002+J99
阿米巴肝肺脓肿	A06.501+J99.8*	A06.501+J99
阿米巴肝肾囊肿伴肺炎	A06.502+J17.3*	A06.502+J17
阿米巴脑脓肿	A06.6+	A06
阿米巴脑脓肿	A06.600+G07*	A06
皮肤阿米巴病	A06.7	A06
皮肤阿米巴病	A06.700	A06
其他部位的阿米巴感染	A06.8	A06
阿米巴感染，其他部位的	A06.800	A06
阿米巴膀胱炎	A06.800x001	A06
阿米巴阑尾炎	A06.800x002	A06
阿米巴精囊炎	A06.800x003	A06
阿米巴龟头炎	A06.800x004+N51.2*	A06.800x004+N51
眼阿米巴病	A06.801	A06
未特指的阿米巴病	A06.9	A06
阿米巴病	A06.900	A06
	A07	
	其他原虫性肠道疾病	
其他原虫性肠道疾病	A07	
小袋纤毛虫病	A07.0	A07
小袋纤毛虫病	A07.000	A07
贾第虫病[兰伯鞭毛虫病]	A07.1	A07
贾第虫病[兰伯鞭毛虫病]	A07.100	A07
隐孢子虫病	A07.2	A07
隐孢子虫病	A07.200	A07
等孢球虫病	A07.3	A07
等孢球虫病	A07.300	A07
肠道球虫病	A07.300x002	A07
其他特指的原虫性肠道疾病	A07.8	A07
原虫性肠道疾病，其他特指的	A07.800	A07
肉孢子虫病	A07.800x002	A07
肠道滴虫病	A07.801	A07
未特指的原虫性肠道疾病	A07.9	A07
原虫性肠道疾病	A07.900	A07
肠道原虫感染	A07.900x001	A07
	A08	
	病毒性和其他特指的肠道感染	
病毒性和其他特指的肠道感染	A08	
轮状病毒性肠炎	A08.0	A08
轮状病毒性肠炎	A08.000	A08
诺如病毒起的急性胃肠病	A08.1	A08
诺如病毒引起的急性胃肠病	A08.100	A08
诺如病毒性肠炎	A08.100x001	A08
诺如病毒性急性胃肠病	A08.101	A08
腺病毒性肠炎	A08.2	A08
腺病毒性肠炎	A08.200	A08
其他病毒性肠炎	A08.3	A08
病毒性肠炎，其他的	A08.300	A08
EB病毒性肠炎	A08.301	A08
未特指的病毒性肠道感染	A08.4	A08
病毒性肠道感染	A08.400	A08
病毒性小肠炎	A08.400x003	A08
病毒性肠炎	A08.401	A08
病毒性胃肠炎	A08.402	A08
其他特指的肠道感染	A08.5	A08
肠道感染，其他特指的	A08.500	A08
	A09	
	其他传染性和未特指病因的胃肠炎和结肠炎	
其他传染性和未特指病因的胃肠炎和结肠炎	A09	
其他和未特指传染性病因的胃肠炎和结肠炎	A09.0	A09
传染性病因的胃肠炎和结肠炎，其他和未特指的	A09.000	A09
肠道感染	A09.000x001	A09
流行性肠炎	A09.000x003	A09
出血性结肠炎	A09.000x006	A09
感染性胃肠炎	A09.001	A09
感染性结肠炎	A09.002	A09
痢疾	A09.003	A09
感染性腹泻	A09.004	A09
脓毒性肠炎	A09.005	A09
急性出血性肠炎	A09.006	A09
急性感染性肠炎	A09.007	A09
未特指病因的胃肠炎和结肠炎	A09.9	A09
胃肠炎和结肠炎	A09.900	A09
急性肠炎	A09.900x003	A09
急性小肠炎	A09.900x004	A09
新生儿腹泻	A09.900x005	A09
肠炎	A09.900x006	A09
腹泻	A09.900x007	A09
胃肠炎	A09.901	A09
结肠炎	A09.902	A09
婴儿腹泻	A09.903	A09
出血性肠炎	A09.904	A09
	A15	
	呼吸道结核，经细菌学和组织学证实	
呼吸道结核，经细菌学和组织学证实	A15	
肺结核，经显微镜下痰检查证实，伴有或不伴有痰培养	A15.0	A15
肺结核，经显微镜下痰检查证实，伴有或不伴有痰培养	A15.000	A15
肺结核（显微镜检证实）	A15.000x001	A15
肺结核（仅痰涂片证实）	A15.000x002	A15
肺结核（痰涂片及培养均证实）	A15.000x003	A15
继发性肺结核（初治,单耐药）涂阳培阳	A15.000x010	A15
继发性肺结核（初治,多耐药）涂阳培阳	A15.000x012	A15
继发性肺结核（初治,广泛耐药）涂阳培阳	A15.000x014	A15
继发性肺结核（初治,耐多药）涂阳培阳	A15.000x016	A15
继发性肺结核（初治,药物敏感）涂阳培阳	A15.000x018	A15
继发性肺结核（复治,单耐药）涂阳培阳	A15.000x020	A15
继发性肺结核（复治,多耐药）涂阳培阳	A15.000x022	A15
继发性肺结核（复治,广泛耐药）涂阳培阳	A15.000x024	A15
继发性肺结核（复治,耐多药）涂阳培阳	A15.000x026	A15
继发性肺结核（复治,药物敏感）涂阳培阳	A15.000x028	A15
肺结核瘤，痰镜检（+）	A15.001	A15
肺干酪性结核，痰镜检（+）	A15.002	A15
结核性肺纤维变性，痰镜检（+）	A15.003	A15
结核性肺炎，痰镜检（+）	A15.004	A15
结核性气胸，痰镜检（+）	A15.005	A15
结核性支气管扩张，痰镜检（+）	A15.006	A15
空洞型肺结核，痰镜检（+）	A15.007	A15
肺结核,仅经痰培养所证实	A15.1	A15
肺结核，仅经痰培养所证实	A15.100	A15
肺结核（仅痰培养证实）	A15.100x001	A15
继发性肺结核（初治,单耐药）涂阴培阳	A15.100x002	A15
继发性肺结核（初治,多耐药）涂阴培阳	A15.100x003	A15
继发性肺结核（初治,广泛耐药）涂阴培阳	A15.100x004	A15
继发性肺结核（初治,耐多药）涂阴培阳	A15.100x005	A15
继发性肺结核（初治,药物敏感）涂阴培阳	A15.100x006	A15
继发性肺结核（复治,单耐药）涂阴培阳	A15.100x007	A15
继发性肺结核（复治,多耐药）涂阴培阳	A15.100x008	A15
继发性肺结核（复治,广泛耐药）涂阴培阳	A15.100x009	A15
继发性肺结核（复治,耐多药）涂阴培阳	A15.100x010	A15
继发性肺结核（复治,药物敏感）涂阴培阳	A15.100x011	A15
肺结核瘤，痰培养（+）	A15.101	A15
肺干酪性结核，痰培养（+）	A15.102	A15
结核性肺纤维变性，痰培养（+）	A15.103	A15
结核性肺炎，痰培养（+）	A15.104	A15
结核性气胸，痰培养（+）	A15.105	A15
结核性支气管扩张，痰培养（+）	A15.106	A15
空洞型肺结核，痰培养（+）	A15.107	A15
肺结核，经组织学所证实	A15.2	A15
肺结核，经组织学所证实	A15.200	A15
肺结核（组织学证实）	A15.200x001	A15
结核性损毁肺（组织学+）	A15.200x002	A15
肺结核瘤，病理（+）	A15.201	A15
肺干酪性结核，病理（+）	A15.202	A15
结核性肺纤维变性，病理（+）	A15.203	A15
结核性肺炎，病理（+）	A15.204	A15
结核性气胸，病理（+）	A15.205	A15
结核性支气管扩张，病理（+）	A15.206	A15
空洞型肺结核，病理（+）	A15.207	A15
肺结核，经未特指的方法所证实	A15.3	A15
肺结核，经证实的	A15.300	A15
肺结核（分子诊断证实）	A15.300x001	A15
肺结核瘤经证实（+）	A15.301	A15
肺干酪性结核经证实（+）	A15.302	A15
结核性肺纤维变性经证实（+）	A15.303	A15
结核性肺炎经证实（+）	A15.304	A15
结核性气胸经证实（+）	A15.305	A15
结核性支气管扩张经证实（+）	A15.306	A15
空洞型肺结核经证实（+）	A15.307	A15
胸腔内淋巴结结核，经细菌学和组织学所证实	A15.4	A15
胸腔内淋巴结结核，经细菌学和组织学所证实	A15.400	A15
肺门淋巴结结核（细菌学和组织学证实）	A15.400x001	A15
肺门淋巴结结核，病理（+）	A15.401	A15
气管支气管淋巴结结核，细菌学（+）	A15.402	A15
气管支气管淋巴结结核，病理（+）	A15.403	A15
胸内淋巴结结核，细菌学（+）	A15.404	A15
胸内淋巴结结核，病理（+）	A15.405	A15
纵隔淋巴结结核，细菌学（+）	A15.406	A15
纵隔淋巴结结核，病理（+）	A15.407	A15
支气管淋巴结结核，细菌学（+）	A15.408	A15
支气管淋巴结结核，病理（+）	A15.409	A15
喉、气管和支气管结核，经细菌学和组织学所证实	A15.5	A15
喉、气管和支气管结核，经细菌学和组织学所证实	A15.500	A15
喉结核（细菌学和组织学证实）	A15.500x001	A15
气管结核（细菌学和组织学证实）	A15.500x002	A15
支气管结核（细菌学和组织学证实）	A15.500x003	A15
声带结核（细菌学和组织学证实）	A15.500x004	A15
支气管结核（初治,单耐药）涂阳培阳	A15.500x010	A15
支气管结核（初治,单耐药）涂阴培阳	A15.500x011	A15
支气管结核（初治,多耐药）涂阳培阳	A15.500x012	A15
支气管结核（初治,多耐药）涂阴培阳	A15.500x013	A15
支气管结核（初治,广泛耐药）涂阳培阳	A15.500x014	A15
支气管结核（初治,广泛耐药）涂阴培阳	A15.500x015	A15
支气管结核（初治,耐多药）涂阳培阳	A15.500x016	A15
支气管结核（初治,耐多药）涂阴培阳	A15.500x017	A15
支气管结核（初治,药物敏感）涂阳培阳	A15.500x018	A15
支气管结核（初治,药物敏感）涂阴培阳	A15.500x019	A15
支气管结核（复治,单耐药）涂阳培阳	A15.500x020	A15
支气管结核（复治,单耐药）涂阴培阳	A15.500x021	A15
支气管结核（复治,多耐药）涂阳培阳	A15.500x022	A15
支气管结核（复治,多耐药）涂阴培阳	A15.500x023	A15
支气管结核（复治,广泛耐药）涂阳培阳	A15.500x024	A15
支气管结核（复治,广泛耐药）涂阴培阳	A15.500x025	A15
支气管结核（复治,耐多药）涂阳培阳	A15.500x026	A15
支气管结核（复治,耐多药）涂阴培阳	A15.500x027	A15
支气管结核（复治,药物敏感）涂阳培阳	A15.500x028	A15
支气管结核（复治,药物敏感）涂阴培阳	A15.500x029	A15
喉结核，病理（+）	A15.501	A15
会厌结核，细菌学（+）	A15.502	A15
会厌结核，病理（+）	A15.503	A15
声带结核，细菌学（+）	A15.504	A15
声带结核，病理（+）	A15.505	A15
气管结核，细菌学（+）	A15.506	A15
气管结核，病理（+）	A15.507	A15
支气管结核，细菌学（+）	A15.508	A15
支气管结核，病理（+）	A15.509	A15
结核性胸膜炎，经细菌学和组织学所证实	A15.6	A15
结核性胸膜炎，经细菌学和组织学所证实	A15.600	A15
结核性胸膜炎，病理（+）	A15.601	A15
结核性脓胸，细菌学（+）	A15.602	A15
结核性脓胸，病理（+）	A15.603	A15
结核性胸腔积液，细菌学（+）	A15.604	A15
结核性胸腔积液，病理（+）	A15.605	A15
结核性渗出性胸膜炎，细菌学（+）	A15.606	A15
结核性渗出性胸膜炎，病理（+）	A15.607	A15
胸膜结核瘤，细菌学（+）	A15.608	A15
胸膜结核瘤，病理（+）	A15.609	A15
原发性呼吸道结核，经细菌学和组织学所证实	A15.7	A15
原发性呼吸道结核，经细菌学和组织学所证实	A15.700	A15
原发性呼吸道结核，病理（+）	A15.701	A15
肺原发性结核性复征，细菌学（+）	A15.702	A15
肺原发性结核性复征，病理（+）	A15.703	A15
其他呼吸道结核，经细菌学和组织学所证实	A15.8	A15
呼吸道结核，经细菌学和组织学所证实，其他的	A15.800	A15
鼻咽结核性肉芽肿（组织学证实）	A15.800x001	A15
结核性鼻窦炎，细菌学（+）	A15.801	A15
结核性鼻窦炎，病理（+）	A15.802	A15
鼻中隔结核，细菌学（+）	A15.803	A15
鼻中隔结核，病理（+）	A15.804	A15
鼻咽结核，细菌学（+）	A15.805	A15
鼻咽结核，病理（+）	A15.806	A15
鼻结核，细菌学（+）	A15.807	A15
鼻结核，病理（+）	A15.808	A15
扁桃体结核，细菌学（+）	A15.809	A15
扁桃体结核，病理（+）	A15.810	A15
咽部结核，细菌学（+）	A15.811	A15
咽部结核，病理（+）	A15.812	A15
纵隔结核，细菌学（+）	A15.813	A15
纵隔结核，病理（+）	A15.814	A15
未特指的呼吸道结核，经细菌学和组织学所证实	A15.9	A15
呼吸道结核，经细菌学和组织学所证实的	A15.900	A15
呼吸道结核，病理（+）	A15.901	A15
	A16	
	呼吸道结核，未经细菌学或组织学所证实	
呼吸道结核，未经细菌学或组织学所证实	A16	
肺结核，细菌学和组织学检查为阴性	A16.0	A16
肺结核，细菌学和组织学检查为阴性	A16.000	A16
肺结核（细菌学和组织学检查为阴性）	A16.000x001	A16
支气管结核（细菌学和组织学证实均阴性）	A16.000x002	A16
肺结核瘤，痰镜检（-）	A16.001	A16
结核性肺炎，痰镜检（-）	A16.002	A16
结核性肺纤维变性，痰镜检（-）	A16.003	A16
结核性气胸，痰镜检（-）	A16.004	A16
结核性支气管扩张，痰镜检（-）	A16.005	A16
肺干酪性结核，痰镜检（-）	A16.006	A16
空洞型肺结核，痰镜检（-）	A16.007	A16
浸润型肺结核，痰镜检（-）	A16.008	A16
增殖型肺结核，痰镜检（-）	A16.009	A16
肺结核，痰培养（-）	A16.010	A16
肺结核瘤，痰培养（-）	A16.011	A16
结核性肺炎，痰培养（-）	A16.012	A16
结核性肺纤维变性，痰培养（-）	A16.013	A16
结核性气胸，痰培养（-）	A16.014	A16
结核性支气管扩张，痰培养（-）	A16.015	A16
肺干酪性结核，痰培养（-）	A16.016	A16
空洞型肺结核，痰培养（-）	A16.017	A16
浸润型肺结核，痰培养（-）	A16.018	A16
增殖型肺结核，痰培养（-）	A16.019	A16
肺结核，病理（-）	A16.020	A16
肺结核瘤，病理（-）	A16.021	A16
结核性肺炎，病理（-）	A16.022	A16
结核性肺纤维变性，病理（-）	A16.023	A16
结核性气胸，病理（-）	A16.024	A16
结核性支气管扩张，病理（-）	A16.025	A16
肺干酪性结核，病理（-）	A16.026	A16
空洞型肺结核，病理（-）	A16.027	A16
浸润型肺结核，病理（-）	A16.028	A16
增殖型肺结核，病理（-）	A16.029	A16
肺结核瘤，细胞学（组织学）（-）	A16.030	A16
结核性肺炎，细胞学（组织学）（-）	A16.031	A16
结核性肺纤维变性，细胞学（组织学）（-）	A16.032	A16
结核性气胸，细胞学（组织学）（-）	A16.033	A16
结核性支气管扩张，细胞学（组织学）（-）	A16.034	A16
肺干酪性结核，细胞学（组织学）（-）	A16.035	A16
空洞型肺结核，细胞学（组织学）（-）	A16.036	A16
浸润型肺结核，细胞学（组织学）（-）	A16.037	A16
增殖型肺结核，细胞学（组织学）（-）	A16.038	A16
肺结核，未做细菌学和组织学检查	A16.1	A16
肺结核，未做细菌学和组织学检查	A16.100	A16
肺结核（未行细菌学和组织学检查）	A16.100x001	A16
肺结核瘤，未做细菌学和组织学检查	A16.101	A16
结核性肺炎，未做细菌学和组织学检查	A16.102	A16
结核性肺纤维变性，未做细菌学和组织学检查	A16.103	A16
结核性气胸，未做细菌学和组织学检查	A16.104	A16
结核性支气管扩张，未做细菌学和组织学检查	A16.105	A16
肺干酪性结核，未做细菌学和组织学检查	A16.106	A16
空洞型肺结核，未做细菌学和组织学检查	A16.107	A16
浸润型肺结核，未做细菌学和组织学检查	A16.108	A16
增殖型肺结核，未做细菌学和组织学检查	A16.109	A16
肺结核，未提及细菌学或组织学的证实	A16.2	A16
肺结核，未提及细菌学或组织学的证实	A16.200	A16
肺结核	A16.200x002	A16
结节型肺结核	A16.200x007	A16
结核性胸膜瘘	A16.200x012	A16
结核性损毁肺	A16.200x013	A16
结核性大咯血	A16.200x014	A16
继发性肺结核	A16.200x015	A16
肺结核瘤	A16.201	A16
结核性肺炎	A16.202	A16
结核性肺纤维变性	A16.203	A16
结核性气胸	A16.204	A16
结核性支气管扩张	A16.205	A16
肺干酪性结核	A16.206	A16
空洞型肺结核	A16.207	A16
结核性肺不张	A16.210	A16
胸腔内淋巴结结核，未提及细菌学或组织学的证实	A16.3	A16
胸腔内淋巴结结核，未提及细菌学或组织学的证实	A16.300	A16
结核性支气管淋巴瘘	A16.300x002	A16
胸壁淋巴结结核	A16.300x003	A16
结核性乳糜胸	A16.300x007	A16
肺门淋巴结结核	A16.301	A16
胸内淋巴结结核	A16.302	A16
气管支气管淋巴结结核	A16.303	A16
支气管淋巴结结核	A16.304	A16
纵隔淋巴结结核	A16.305	A16
喉、气管和支气管结核，未提及细菌学或组织学的证实	A16.4	A16
喉、气管和支气管结核，未提及细菌学或组织学的证实	A16.400	A16
孤立性气管支气管结核	A16.400x005	A16
结核性气管狭窄	A16.400x010	A16
结核性支气管狭窄	A16.400x011	A16
会厌结核	A16.401	A16
气管结核	A16.402	A16
声带结核	A16.403	A16
结核性支气管胸膜瘘	A16.405	A16
喉结核	A16.406	A16
结核性胸膜炎，未提及细菌学或组织学的证实	A16.5	A16
结核性胸膜炎，未提及细菌学或组织学的证实	A16.500	A16
结核性干性胸膜炎	A16.500x001	A16
结核性胸膜炎	A16.500x004	A16
结核性胸膜炎（初治）	A16.500x008	A16
结核性胸膜炎（复治）	A16.500x009	A16
结核性包裹性脓胸	A16.500x010	A16
结核性脓胸	A16.501	A16
结核性渗出性胸膜炎	A16.503	A16
胸膜结核瘤	A16.504	A16
结核性脓气胸	A16.505	A16
原发性呼吸道结核，未提及细菌学或组织学的证实	A16.7	A16
原发性呼吸道结核，未提及细菌学或组织学的证实	A16.700	A16
肺结核原发综合征	A16.700x001	A16
原发性肺结核	A16.700x002	A16
其他呼吸道结核，未提及细菌学或组织学的证实	A16.8	A16
呼吸道结核，未提及细菌学或组织学的证实，其他的	A16.800	A16
干酪性鼻窦炎	A16.800x002	A16
干酪性鼻炎[结核性鼻炎]	A16.800x003	A16
结核性鼻窦炎	A16.801	A16
鼻中隔结核	A16.802	A16
鼻咽结核	A16.803	A16
鼻结核	A16.804	A16
扁桃体结核	A16.805	A16
咽部结核	A16.806	A16
纵隔结核	A16.807	A16
未特指的呼吸道结核，未提及细菌学或组织学的证实	A16.9	A16
呼吸道结核	A16.900	A16
结核病	A16.900x001	A16
结核感染	A16.900x002	A16
呼吸道结核病	A16.900x003	A16
结核性胸壁窦	A16.900x023	A16
	A17+	
	神经系统的结核	
神经系统的结核	A17+	
结核性脑膜炎	A17.0+	A17
结核性脑膜炎	A17.000+G01*	A17
结核性脊膜炎	A17.000x001+G05.0*	A17.000x001+G05
蛛网膜结核病	A17.000x005+G01*	A17
结核性脑膜粘连	A17.000x006+G01*	A17
结核性脑脊髓膜炎	A17.001+G01*	A17
脑膜结核瘤	A17.1+	A17
脑膜结核瘤	A17.100+G07*	A17
脑脊膜结核瘤	A17.100x001+G07*	A17
神经系统的其他结核	A17.8+	A17
神经系统的其他结核	A17.800	A17
结核性脊髓脊膜炎	A17.800x007+G05.0*	A17.800x007+G05
脑结核瘤	A17.801+G07*	A17
结核性脑肉芽肿	A17.802+G07*	A17
结核性脑膜脑炎	A17.803+G05.0*	A17.803+G05
结核性脑炎	A17.804+G05.0*	A17.804+G05
结核性脑脓肿	A17.805+G07*	A17
脊髓结核	A17.806+G07*	A17
结核性脑积水	A17.807+G94.0*	A17.807+G94
未特指的神经系统结核	A17.9+	A17
神经系统结核	A17.900+G99.8*	A17.900+G99
中枢神经系统结核	A17.900x001+G99.8*	A17.900x001+G99
	A18	
	其他器官的结核	
其他器官的结核	A18	
骨和关节的结核	A18.0+	A18
骨和关节的结核	A18.000	A18
腭骨结核	A18.000x002+M90.0*	A18.000x002+M90
颌骨结核	A18.000x003+M90.0*	A18.000x003+M90
乳突结核	A18.000x004+H75.0*	A18.000x004+H75
颧骨结核	A18.000x006+M90.0*	A18.000x006+M90
结核性风湿病[篷塞病]	A18.000x015+M01.1*	A18.000x015+M01
